name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
理科系のための実践英語プレゼンテーション,朝倉書店,廣岡慶彦,廣岡慶彦,,,,,,,,,,,,,
理系のための英語最重要「キー動詞」43,講談社,原田豊太郎,原田豊太郎,,,,,,,,,,,,,
ＬａＴｅＸ超入門　ゼロからはじめる理系の文書作成術,講談社,水谷正大,水谷正大,,,,,,,,,,,,,
ネイティブが教える 日本人研究者のための論文の書き方・アクセプト術,講談社,エイドリアン・ウォールワーク，前平謙二，笠川梢,エイドリアン・ウォールワーク,前平謙二,笠川梢,,,,,,,,,,,
英語論文すぐに使える表現集,ベレ出版,小田麻里子，味園真紀,小田麻里子,味園真紀,,,,,,,,,,,,
Google英文ライティング 英語がどんどん書けるようになる本,講談社インターナショナル,遠田和子,遠田和子,,,,,,,,,,,,,
ポイントで学ぶ科学英語論文の書き方 改訂版,丸善出版,小野義正,小野義正,,,,,,,,,,,,,
ＬａＴｅＸ超入門　ゼロからはじめる理系の文書作成術,講談社,水谷正大,水谷正大,,,,,,,,,,,,,
深層学習による自然言語処理,講談社,坪井祐太，海野裕也，鈴木潤,坪井祐太,海野裕也,鈴木潤,,,,,,,,,,,
画像認識,講談社,原田達也,原田達也,,,,,,,,,,,,,
統計的因果探索,講談社,清水昌平,清水昌平,,,,,,,,,,,,,
機械学習のための連続最適化,講談社,金森敬文，鈴木大慈，竹内一郎，佐藤一誠,金森敬文,鈴木大慈,竹内一郎,佐藤一誠,,,,,,,,,,
オンライン予測,講談社,畑埜晃平，瀧本英二,畑埜晃平,瀧本英二,,,,,,,,,,,,
関係データ学習,講談社,石黒勝彦，林浩平,石黒勝彦,林浩平,,,,,,,,,,,,
データ解析におけるプライバシー保護,講談社,佐久間淳,佐久間淳,,,,,,,,,,,,,
ウェブデータの機械学習,講談社,ダヌシカボレガラ，岡﨑直観，前原貴憲,ダヌシカボレガラ,岡﨑直観,前原貴憲,,,,,,,,,,,
バンディット問題の理論とアルゴリズム,講談社,本多淳也，中村篤祥,本多淳也,中村篤祥,,,,,,,,,,,,
グラフィカルモデル,講談社,渡辺有祐,渡辺有祐,,,,,,,,,,,,,
ノンパラメトリックベイズ　点過程と統計的機械学習の数理,講談社,佐藤一誠,佐藤一誠,,,,,,,,,,,,,
変分ベイズ学習,講談社,中島伸一,中島伸一,,,,,,,,,,,,,
スパース性に基づく機械学習,講談社,冨岡亮太,冨岡亮太,,,,,,,,,,,,,
劣モジュラ最適化と機械学習,講談社,河原吉伸，永野清仁,河原吉伸,永野清仁,,,,,,,,,,,,
統計的学習理論,講談社,金森敬文,金森敬文,,,,,,,,,,,,,
確率的最適化,講談社,鈴木大慈,鈴木大慈,,,,,,,,,,,,,
異常検知と変化検知,講談社,井手剛，杉山将,井手剛,杉山将,,,,,,,,,,,,
サポートベクトルマシン,講談社,竹内一郎，烏山昌幸,竹内一郎,烏山昌幸,,,,,,,,,,,,
トピックモデル,講談社,岩田具治,岩田具治,,,,,,,,,,,,,
ガウス過程と機械学習,講談社,持橋大地，大羽成征,持橋大地,大羽成征,,,,,,,,,,,,
強化学習,講談社,森村哲郎,森村哲郎,,,,,,,,,,,,,
機械学習のための確率と統計,講談社,杉山将,杉山将,,,,,,,,,,,,,
音声認識,講談社,篠田浩一,篠田浩一,,,,,,,,,,,,,
ヒューマンコンピュテーションとクラウドソーシング,講談社,鹿島久嗣，小山聡，馬場雪乃,鹿島久嗣,小山聡,馬場雪乃,,,,,,,,,,,
生命情報処理における機械学習,講談社,瀬々潤，浜田道昭,瀬々潤,浜田道昭,,,,,,,,,,,,
ベイズ深層学習,講談社,須山敦志,須山敦志,,,,,,,,,,,,,
オンライン機械学習,講談社,海野裕也，岡野原大輔，得居誠也，徳永拓之,海野裕也,岡野原大輔,得居誠也,徳永拓之,,,,,,,,,,
深層学習,講談社,岡谷貴之,岡谷貴之,,,,,,,,,,,,,
深層学習　改訂第2版,講談社,岡谷貴之,岡谷貴之,,,,,,,,,,,,,
機械学習工学,講談社,石川冬樹，丸山宏，柿沼太一，竹内広宜，土橋昌，中川裕志，原聡，堀内新吾，鷲崎弘宜,石川冬樹,丸山宏,柿沼太一,竹内広宜,土橋昌,中川裕志,原聡,堀内新吾,鷲崎弘宜,,,,,
